Word,Frequency
the,4008
a,1974
of,1945
to,1909
and,1862
he,1280
in,1180
was,1003
i,839
his,813
that,722
it,624
on,533
for,510
with,442
had,395
from,391
as,390
at,377
mccandless,364
but,354
is,341
him,309
by,306
an,264
my,260
out,256
chris,239
when,232
be,228
have,223
you,221
into,219
up,196
or,191
this,189
been,184
me,180
there,177
would,172
not,171
one,164
about,161
after,159
so,158
they,157
were,156
no,154
all,148
more,146
then,143
what,142
hed,140
some,133
like,133
we,130
time,127
two,126
down,125
who,124
which,123
alaska,122
than,122
over,122
if,121
life,117
alex,112
back,111
their,104
get,104
just,99
are,99
its,99
didnt,98
walt,98
where,93
them,92
days,91
across,90
could,89
says,89
she,89
much,84
years,83
through,83
before,82
made,82
off,82
only,82
man,81
too,79
long,78
even,78
river,77
first,75
around,75
most,74
billie,74
her,73
do,72
westerberg,72
miles,71
has,70
now,70
bus,70
other,69
mccandlesss,69
however,68
how,67
said,67
few,67
way,67
going,66
himself,65
think,65
know,64
left,63
any,63
day,63
never,63
people,62
very,62
little,62
high,61
without,61
us,61
feet,59
three,59
got,58
old,58
many,58
end,58
id,58
see,57
north,57
wild,57
parents,57
went,57
came,56
will,56
your,55
franz,55
did,54
here,54
wasnt,54
home,54
later,53
im,53
because,53
found,52
something,52
ice,52
told,50
make,50
took,50
carine,50
may,49
during,49
family,48
last,48
road,48
good,48
trail,48
take,48
ever,47
thought,47
another,47
fairbanks,46
far,46
big,46
away,46
right,46
hard,46
school,46
go,45
south,45
country,45
ruess,45
four,44
our,44
well,44
dont,44
gallien,44
work,44
while,44
can,44
young,43
spent,43
kind,43
still,43
turned,42
again,42
really,42
journal,42
months,41
death,41
name,41
own,41
small,41
same,41
next,41
boy,40
nothing,40
why,40
world,40
great,39
lot,39
west,39
food,38
new,37
though,37
town,37
find,37
until,36
might,36
enough,36
come,36
started,36
always,36
summer,35
these,35
chriss,35
also,35
car,34
thumb,34
real,34
point,34
things,34
desert,34
gave,33
those,33
year,33
want,33
seemed,33
money,33
camp,33
week,33
between,32
weeks,32
arrived,32
place,32
gone,32
every,32
body,31
